标题,原价,销量,店名,id,卖点,颜色,评论,销量_数字
小米 REDMI K80 第三代骁龙 8 6550mAh大电池 澎湃OS 汐月蓝 12GB+256GB 红米5G手机,1999.0,100万+,小米京东自营旗舰店,100157830530.0,"['强劲性能', '长效续航', '高清画质', '顺畅操作']",汐月蓝,100万+,1000000
小米 REDMI K80 国家补贴 第三代骁龙 8 6550mAh大电池 澎湃OS 雪岩白 12GB+256GB 红米5G手机,1999.0,100万+,小米京东自营旗舰店,100157830512.0,"['店铺被3000万人种草', '近7日热卖好货']",雪岩白,100万+,1000000
小米 Turbo 4 Pro 16+512,2499.0,100万+,小米京东自营旗舰店,100201589724.0,"['高频调光', '三防标准']",黑色,50万+,1000000
小米（MI）REDMI Turbo 4 Pro 第四代骁龙8s 7550mAh长续航 16GB+1TB 白色 小米红米5G手机,2999.0,100万+,小米京东自营旗舰店,100158171903.0,"['7550毫安续航', '轻薄设计', '高频PWM', '3D冰封散热']",白色,50万+,1000000
REDMI K80 16+1TB 玄夜黑,3199.0,100万+,小米京东自营旗舰店,100129016839.0,"['已售50w+', '累计加购百万', '快充技术', '超大电池']",玄夜黑,100万+,1000000
小米（MI）REDMI Turbo 4 Pro 第四代骁龙8s 7550mAh长续航 16GB+512GB 粉金色 小米红米5G手机,2499.0,100万+,小米京东自营旗舰店,100191176323.0,"['OLED屏', '高频PWM']",粉金色,50万+,1000000
小米（MI）REDMI Turbo 4 Pro 第四代骁龙8s 7550mAh长续航 16GB+1TB 黑色 小米红米5G手机,2999.0,100万+,小米京东自营旗舰店,100201589726.0,"['AI大模型', '轻薄机身', '高频PWM', '红外遥控']",黑色,50万+,1000000
小米 REDMI K80 国家补贴 第三代骁龙 8 6550mAh大电池 澎湃OS 雪岩白 12GB+256GB 红米5G手机,1999.0,100万+,小米京东自营旗舰店,100157830512.0,"['澎湃性能', '大电池续航', '高像素拍摄', '已售50w+']",雪岩白,100万+,1000000
小米 Turbo 4 Pro 16+1T,2999.0,100万+,小米京东自营旗舰店,100251079998.0,"['简约风设计', '5000万像素', 'OLED直屏', '7550mAh电池']",粉金色,50万+,1000000
荣耀X70 12+256 幻夜黑  金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1799.0,90万+,荣耀京东自营旗舰店,100248102668.0,"['红外遥控', '高频PWM', 'OLED直屏', 'IP69防水']",幻夜黑,5万+,900000
荣耀X70 12+512 月影白  金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1999.0,90万+,荣耀京东自营旗舰店,100248102670.0,"['80W快充', '5000万像素', 'IP69防水', '绿洲护眼']",月影白,50万+,900000
荣耀X70 8+128 幻夜黑 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1399.0,90万+,荣耀京东自营旗舰店,100248102702.0,"['高像素拍摄', '大屏显示', '大内存储存', '防水防尘']",幻夜黑,50万+,900000
荣耀X70 8+256 竹韵青 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1599.0,90万+,荣耀京东自营旗舰店,100189191001.0,"['高频PWM', '5000万像素', '十面抗摔', '大容量电池']",竹韵青,10万+,900000
荣耀X70 8+128 幻夜黑 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1399.0,90万+,荣耀京东自营旗舰店,100248102702.0,"['金标十面抗摔', '8300mAh', '青海湖电池']",幻夜黑,50万+,900000
荣耀X70 12+256 朱砂红  金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1799.0,90万+,荣耀京东自营旗舰店,100248102688.0,"['IP69防水', '荣耀绿洲屏', '简约大气', '十面抗摔']",朱砂红,50万+,900000
荣耀X70 8+128 竹韵青 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1399.0,90万+,荣耀京东自营旗舰店,100248102686.0,"['NFC功能', '抗摔认证', 'OLED直屏', 'IP69防水']",竹韵青,50万+,900000
【国家补贴】荣耀X70 8+128,1399.0,90万+,荣耀京东自营旗舰店,100189191021.0,"['十面抗摔', 'AI主摄像', 'OLED直屏', 'IP69防水']",朱砂红,50万+,900000
