标题,原价,销量,店名,id,卖点,颜色,评论
5G旗舰 华为mate80pro手机自选,2898.00,1万+,华星通讯手机店,10159334864006,"['昆仑玻璃', 'AI智慧', '抗摔防水', '玄甲机身']",星空黑 12G+512GB,5000+
华为手机2026热销 华为5G智选新品80 Pro 24期免息 昆仑玻璃 6100mAh大电池 OLED护眼屏补贴华为mate80 星空黑【24G(12+12)+512GB】 豪礼套装版【季度碎屏险+,2498.82,700+,德凯英顿手机专营店,10209823072252,"['24期免息购', '大电池续航', 'OLED护眼', '智能红外遥控']",星空黑【24G(12+12)+512GB】,200+
华为 nova 15 256GB 幻夜黑,2549.00,,华为京东自营旗舰店,100307090484,"['北斗卫星消息', '卫星消息', '大屏视野', '高频调光']",幻夜黑,5万+
华为2026热销 5G新品 智选80 Pro手机 红外遥控 AI智慧助手昆仑玻璃+玄甲机身 华为鸿蒙生态手机 mate 星海蓝 12G+512GB 蓝牙套装版丨送3年保修+180天只换不修+碎屏保,2898.00,1万+,华星通讯手机店,10159334864000,"['鸿蒙生态', '抗摔防水', '玄甲机身', '12G内存']",星海蓝 12G+512GB,5000+
华为nova15 国家补贴,2699.00,400+,京铠玄手机旗舰店,10205521660874,"['400+人已买', '5万+人浏览', '性能强劲到底']",幻夜黑,200+
华为手机2026热销 华为5G智选新品80 Pro 24期免息 昆仑玻璃 6100mAh大电池 OLED护眼屏补贴华为mate80 星海蓝【24G(12+12)+512GB】 豪礼套装版【季度碎屏险+,2616.47,700+,德凯英顿手机专营店,10209823072258,"['智能红外遥控', '昆仑玻璃耐摔', '柔光护眼屏', '大电池续航', '红外遥控', '轻薄设计', '昆仑玻璃', 'OLED护眼']",星海蓝【24G(12+12)+512GB】,200+
华为手机新品5G  mate80pro上市,2322.53,3000+,福购手机专营店,10189949499003,"['十倍耐摔', '华为巨鲸续航', 'OLED护眼', 'IP64防护']",24GB(12+12)+256GB 星空黑,2000+
华为 nova 15 512GB 幻夜黑,2849.00,,华为京东自营旗舰店,100307090456,"['北斗卫星消息', '鸿蒙系统', '红枫影像', 'NFC功能']",幻夜黑,5万+
华为手机智选70pro新品5G旗舰 AI大底主摄 鸿蒙安全守护 海量双存 超巨量电池 极速快充 臻彩护眼屏 曜 曜金黑8+256GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,2568.00,600+,京创手机专营店,10211079736490,"['安全守护', '4千+手机达人浏览', '只换不修']",曜金黑8+256GB,500+
荣耀X70 8+256 幻夜黑 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1599.00,90万+,荣耀京东自营旗舰店,100248102658,"['金标十面抗摔', 'IP69防水', 'OLED直屏', '高频PWM']",幻夜黑,50万+
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.00,7000+,京贸手机专营店,10199103516102,"['海量内存大电池', '昆仑玻璃', '鸿蒙守护', '鸿蒙安全守护']",星空黑12+512GB,5000+
5G新品旗舰 华为mate70pro选购,2575.00,6000+,京贸手机专营店,10199349489193,"['AI大底主摄', '海量存储空间', '臻彩护眼屏', '鸿蒙安全守护']",曜金黑8+256GB,2000+
【国家补贴】荣耀X70 8+128,1399.00,90万+,荣耀京东自营旗舰店,100189191021,"['十面抗摔', 'AI主摄像', 'OLED直屏', 'IP69防水']",朱砂红,50万+
新品华为mate70pro手机上市,1488.00,1万+,卓选数码手机店,10163252658600,"['地震预警', '红外遥控', '抗摔耐用', '大电池续航']",曜石黑 6GB+128GB,5000+
,无原价,,,,,,
华为5G智选手机华为80pro【国家补贴】2025新机上市 24期免息 6100mAh续航 十倍耐摔 补贴华为mate80 20GB(8+12)+256GB星海蓝 耳机套装版【赠1年延保+季度碎屏险】,1946.00,300+,迪旺手机专营店,10211027867238,"['OLED直屏', 'IP65防护', '100W快充', '5000万像素']",20GB(8+12)+256GB星海蓝,34
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏保,3013.00,,智果手机专营店,10210906733237,"['新品5G旗舰', '400+手机达人浏览']",星空黑12+512GB,100+
【国家补贴】荣耀X70 12+512,1999.00,90万+,荣耀京东自营旗舰店,100248102660,"['快速充电', '护眼屏幕', '高频调光', '防水防尘']",幻夜黑,50万+
vivo iQOO Neo11 12GB+256GB,2699.00,,iQOO京东自营旗舰店,100287911980,"['电竞芯片Q2', '疾风2K屏', '轻奢设计', '轻奢风格']",面对疾风,10万+
华为 nova 15 512GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.00,1万+,京东手机自营旗舰店,100310638776,"['北斗卫星图片消息', '5000万像素', '鸿蒙AI', '轻薄设计']",幻夜黑,1000+
