评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
作为米粉一直支持它，国货之光外形外观非常的高端大气上档次，屏幕按键按起来很有机械感。音效不错，清晰。拍照像素很清晰，电池容量大，待机时间挺长。,5,已购 雪岩白 12GB+256GB,j***w,0,作为米粉一直支持它国货之光外形外观非常的高端大气上档次屏幕按键按起来很有机械感音效不错清晰拍照像素很清晰电池容量大待机时间挺长,作为 米粉 一直 支持 国货 之光 外形 外观 非常 高端 大气 上档次 屏幕 按键 起来 机械 音效 不错 清晰 拍照 像素 清晰 电池容量 待机时间 挺长,商品7.csv,1.0,正向
手机太好了，颜值高，配置16+256完全够用，操作非常流畅，拿在手上质感很好，国补后1699元，京东自营有信誉，当天下单第二天收到，快递小哥当场开机激活，很感谢！,5,已购 汐月蓝 16GB+256GB,君***生,1,手机太好了颜值高配置完全够用操作非常流畅拿在手上质感很好国补后元京东自营有信誉当天下单第二天收到快递小哥当场开机激活很感谢,手机 太好了 颜值 配置 完全 够用 操作 非常 流畅 拿在手上 质感 好国 补后 京东 自营 信誉 当天 下单 第二天 收到 快递 小哥 当场 开机 激活 感谢,商品7.csv,0.4522,中性
操作简单易懂，非常顺畅，屏幕色彩鲜艳，电池耐用，不易发烫，机型外观好看，拍照清晰度高，网络速度快，就是才到手两天，这国补又提升了几十块钱,5,已购 玄夜黑 12GB+256GB,j***y,2,操作简单易懂非常顺畅屏幕色彩鲜艳电池耐用不易发烫机型外观好看拍照清晰度高网络速度快就是才到手两天这国补又提升了几十块钱,操作 简单 易懂 非常 顺畅 屏幕 色彩鲜艳 电池 耐用 不易 发烫 机型 外观 好看 拍照 清晰度 网络 速度 就是 到手 两天 这国补 提升 几十块,商品7.csv,0.9977,正向
用了几天才来评，续航和性能都很顶，系统丝滑，拍照日常够用。正品保障，放心冲，太香了！手机手感好，运行流畅不卡顿，电池耐用，功能齐全，发货快，服务好，推荐入手！,5,已购 汐月蓝 16GB+256GB,水***果,3,用了几天才来评续航和性能都很顶系统丝滑拍照日常够用正品保障放心冲太香了手机手感好运行流畅不卡顿电池耐用功能齐全发货快服务好推荐入手,几天 来评 续航 性能 系统 丝滑 拍照 日常 够用 正品 保障 放心 冲太香 手机 手感 运行 流畅 不卡顿 电池 耐用 功能齐全 发货 服务 推荐 入手,商品7.csv,1.0,正向
送货快，快递员现场拆开激活，内存大，运行快，反应灵敏，使用不卡顿，特别是这机的电池非常耐用，两天一充电量无忧，非常OK,5,已购 玄夜黑 12GB+256GB,haoge_haoge,4,送货快快递员现场拆开激活内存大运行快反应灵敏使用不卡顿特别是这机的电池非常耐用两天一充电量无忧非常,送货 快递 现场 拆开 激活 内存 运行 反应 灵敏 使用 不卡顿 特别 这机 电池 非常 耐用 两天 充电 无忧 非常,商品7.csv,0.7565,中性
给孩子买的，挺满意。拍照可以，通话挺好，用起来挺流畅，配置选择的电池容量挺大的，据说可以用两天。试试再看。外壳也挺好，不是透明的。缺点，没有耳机插孔。,5,已购 玄夜黑 12GB+512GB,pbr0s8qp43pad7,5,给孩子买的挺满意拍照可以通话挺好用起来挺流畅配置选择的电池容量挺大的据说可以用两天试试再看外壳也挺好不是透明的缺点没有耳机插孔,孩子 满意 拍照 可以 通话 挺好用 起来 流畅 配置 选择 电池容量 挺大 据说 可以 两天 试试 外壳 不是 透明 缺点 没有 耳机 插孔,商品7.csv,0.9999,正向
充电速度很快，屏幕显示比小米12通透，反应也非常快，手感不错，补贴1.8k买的还是很划算，京东买省心省时,5,已购 玄夜黑 12GB+512GB,超级晖,6,充电速度很快屏幕显示比小米通透反应也非常快手感不错补贴买的还是很划算京东买省心省时,充电 速度 很快 屏幕显示 小米 通透 反应 非常 手感 不错 补贴 还是 划算 京东 省心 省时,商品7.csv,0.9868,正向
红米K80性能强劲，屏幕清晰护眼，续航持久充电快。系统流畅，散热不错，拍照日常够用，性价比超高，千元机里很能打，使用体验超预期。,5,已购 玄夜黑 12GB+256GB,01意夏,7,红米性能强劲屏幕清晰护眼续航持久充电快系统流畅散热不错拍照日常够用性价比超高千元机里很能打使用体验超预期,红米 性能 强劲 屏幕 清晰 护眼 续航 持久 充电 系统 流畅 散热 不错 拍照 日常 够用 性价比 超高 千元 机里 使用 体验 预期,商品7.csv,1.0,正向
红米K80综合素质在线，旗舰芯+大电池+高素质直屏，用着流畅省心。外观质感不错，功能齐全，续航让人安心。适合追求稳定、耐用、高性价比的普通用户。,5,已购 雪岩白 12GB+256GB,M***笑,8,红米综合素质在线旗舰芯大电池高素质直屏用着流畅省心外观质感不错功能齐全续航让人安心适合追求稳定耐用高性价比的普通用户,红米 综合 素质 在线 旗舰 芯大 电池 高素质 直屏 流畅 省心 外观 质感 不错 功能齐全 续航 安心 适合 追求 稳定 耐用 高性价比 普通用户,商品7.csv,1.0,正向
送货上门速度快，颜值高，软件启动迅速，拍照清晰，屏幕大，运行流畅，非常满意，性价比高，待机时间长，充电非常快，非常满意的一次购物体验。,5,已购 雪岩白 12GB+512GB,吃***神,9,送货上门速度快颜值高软件启动迅速拍照清晰屏幕大运行流畅非常满意性价比高待机时间长充电非常快非常满意的一次购物体验,送货上门 速度 快颜值 软件 启动 迅速 拍照 清晰 屏幕 运行 流畅 非常 满意 性价比 待机时间 充电 非常 非常 满意 一次 购物 体验,商品7.csv,1.0,正向
手机不错，外观很漂亮，配置也高，自带的配件也很全，充电器，手机壳，屏幕保护膜都有！使用省心，京东送货速度也快，购物体验非常好,5,已购 汐月蓝 12GB+512GB,老于412249954,10,手机不错外观很漂亮配置也高自带的配件也很全充电器手机壳屏幕保护膜都有使用省心京东送货速度也快购物体验非常好,手机 不错 外观 很漂亮 配置 自带 配件 充电器 手机 屏幕 保护膜 使用 省心 京东 送货 速度 购物 体验 非常,商品7.csv,1.0,正向
这款手机使用体验超棒，外观简约时尚，握持感舒适。性能强劲运行流畅，拍照清晰效果好。电池续航也不错，性价比很高，值得购买。,5,已购 雪岩白 12GB+256GB,老陈13601,12,这款手机使用体验超棒外观简约时尚握持感舒适性能强劲运行流畅拍照清晰效果好电池续航也不错性价比很高值得购买,手机 使用 体验 超棒 外观 简约 时尚 握持 舒适性 强劲 运行 流畅 拍照 清晰 效果 电池 续航 不错 性价比 值得 购买,商品7.csv,1.0,正向
是挺不错的，给老人用足够了，手机很大，显示很清楚，拍照效果也很好，能满足老人所有的需求，推荐给有需要的朋友们，物流也很快,5,已购 雪岩白 12GB+256GB,8yr8olbbcdwl4r,13,是挺不错的给老人用足够了手机很大显示很清楚拍照效果也很好能满足老人所有的需求推荐给有需要的朋友们物流也很快,挺不错 老人 足够 手机 很大 显示 清楚 拍照 效果 满足 老人 所有 需求 推荐 需要 朋友 物流 很快,商品7.csv,1.0,正向
买的白色，已经用上了，质量还可以。第一次买小米手机，据说性价比比较高，给家人买的，用了一阵了，再用用看,5,已购 雪岩白 12GB+256GB,j***a,14,买的白色已经用上了质量还可以第一次买小米手机据说性价比比较高给家人买的用了一阵了再用用看,白色 已经 质量 可以 第一次 小米 手机 据说 性价比 比较 高给 家人 一阵,商品7.csv,0.9902,正向
"外形外观：漂亮🤩🤩
屏幕音效：很好音质很好(≧▽≦)/♫
拍照效果：清晰(⁎⁍̴̛ᴗ⁍̴̛⁎)
运行速度：非常快
待机时间：待机时间长
其他特色：性价比超高",5,已购 雪岩白 12GB+256GB,且听风萦,15,"外形外观漂亮
屏幕音效很好音质很好
拍照效果清晰
运行速度非常快
待机时间待机时间长
其他特色性价比超高",外形 外观 漂亮 屏幕 音效 音质 拍照 效果 清晰 运行 速度 非常 待机时间 待机时间 其他 特色 性价比 超高,商品7.csv,1.0,正向
