评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件
"手机到手了，
外形外观：设计简约
屏幕音效：屏幕显示清晰
拍照效果：拍照清晰
运行速度：运行速度流畅
待机时间：待机时间长",5,已购 月岩白 12GB+256GB,5096p6xwu0k321,0,"手机到手了
外形外观设计简约
屏幕音效屏幕显示清晰
拍照效果拍照清晰
运行速度运行速度流畅
待机时间待机时间长",手机 到手 外形 外观设计 简约 屏幕 音效 屏幕显示 清晰 拍照 效果 拍照 清晰 运行 速度 运行 速度 流畅 待机时间 待机时间,商品3.csv
双十一买的，第一次用红米，新机使用还不错，待机也可以，一天一夜充一次电，希望时间使用久点，还能待机这么久,5,已购 冰锋蓝 16GB+1T,泡***夏,1,双十一买的第一次用红米新机使用还不错待机也可以一天一夜充一次电希望时间使用久点还能待机这么久,双十 一买 第一次 用红米 新机 使用 不错 待机 可以 一天 一夜 一次 希望 时间 使用 久点 待机 这么久,商品3.csv
包装完美，原封机，质感特别好，音效和振动马达比之前用过的手机都要好，屏幕护眼性好，天玑9400+的处理器，在京东购买的，非常完美的一次购物体验。,5,已购 砂岩灰 16GB+256GB,阿拉雷蕾累,2,包装完美原封机质感特别好音效和振动马达比之前用过的手机都要好屏幕护眼性好天玑的处理器在京东购买的非常完美的一次购物体验,包装 完美 原封 质感 特别 音效 振动 马达 之前 用过 手机 屏幕 护眼 性好 天玑 处理器 京东 购买 非常 完美 一次 购物 体验,商品3.csv
元旦前一天买的，想作为新年礼物的，手机确实很漂亮，运行流畅，外放音乐大，快赶上电视音量了，总体满意。可惜第二天就可以国补了，多用小200块，好在送了个手环，聊做安慰吧。,5,已购 月岩白 12GB+256GB,jd_wjwj36,3,元旦前一天买的想作为新年礼物的手机确实很漂亮运行流畅外放音乐大快赶上电视音量了总体满意可惜第二天就可以国补了多用小块好在送了个手环聊做安慰吧,元旦 前一天 作为 新年礼物 手机 确实 很漂亮 运行 流畅 外放 音乐 大快 赶上 电视 音量 总体 满意 可惜 第二天 可以 国补 多用 小块 手环 安慰,商品3.csv
"外形外观：我觉得很好看
屏幕音效：放音乐的音效都很好
拍照效果：暂时看来特别清晰
待机时间：久
图片是我拿手机新拍的，很清晰",5,已购 月岩白 12GB+512GB,j***9,4,"外形外观我觉得很好看
屏幕音效放音乐的音效都很好
拍照效果暂时看来特别清晰
待机时间久
图片是我拿手机新拍的很清晰",外形 外观 觉得 好看 屏幕 音效 音乐 音效 拍照 效果 暂时 看来 特别 清晰 待机时间 图片 手机 清晰,商品3.csv
这款手机至尊版性能强劲，运行流畅，拍照效果出色📸✨，包装完好无损📦，物流速度快🚚，整体体验非常满意！！,5,已购 砂岩灰 16GB+512GB,j***d,5,这款手机至尊版性能强劲运行流畅拍照效果出色包装完好无损物流速度快整体体验非常满意,手机 至尊版 性能 强劲 运行 流畅 拍照 效果 出色 包装 完好无损 物流 速度 整体 体验 非常 满意,商品3.csv
运行快，好久没用过小米了，以前是米粉，现在也喜欢，不过就是怕会用久了卡，这台感觉和水果用着也啥分别，个别性能更好用,5,已购 云杉绿 16GB+512GB,j***n,6,运行快好久没用过小米了以前是米粉现在也喜欢不过就是怕会用久了卡这台感觉和水果用着也啥分别个别性能更好用,运行 好久 没用过 小米 以前 米粉 现在 喜欢 不过 就是 这台 感觉 水果 分别 个别 性能 更好,商品3.csv
入手的小米产品品质很不错，外观简约精致科技感足，性能稳定流畅，运行速度快，使用体验佳。而且价格实惠性价比高，售后到位，值得购买。,5,已购 冰锋蓝 12GB+512GB,jd_gesv6q6kn0g7z1,7,入手的小米产品品质很不错外观简约精致科技感足性能稳定流畅运行速度快使用体验佳而且价格实惠性价比高售后到位值得购买,入手 小米 产品品质 不错 外观 简约 精致 科技 感足 性能 稳定 流畅 运行 速度 使用 体验 而且 价格 实惠 性价比 售后 到位 值得 购买,商品3.csv
目前使用很流畅，性价比很高，这个价位已经非常好了，除了拍照一般，其他的都挺不错的，都说小米云控有点不做人，不知具体怎么样,5,已购 砂岩灰 16GB+256GB,j***9,8,目前使用很流畅性价比很高这个价位已经非常好了除了拍照一般其他的都挺不错的都说小米云控有点不做人不知具体怎么样,目前 使用 流畅 性价比 这个 价位 已经 非常 除了 拍照 一般 其他 挺不错 小米 云控 有点 做人 不知 具体 怎么样,商品3.csv
外观满分，非常喜欢这种风格、包装完好，快递速度也快。手机没有问题原封未拆的。  总体来说非常棒。体验非常好,5,已购 冰锋蓝 12GB+256GB,青椒不要辣,9,外观满分非常喜欢这种风格包装完好快递速度也快手机没有问题原封未拆的  总体来说非常棒体验非常好,外观 满分 非常 喜欢 这种 风格 包装 完好 快递 速度 手机 没有 问题 原封 总体 来说 非常 体验 非常,商品3.csv
