商品ID,标题,品牌,价格,原价
6921665583461092358,15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,4199,4299
6921326352584377424,Redmi红米14C手机【手机支架套餐】5160mAh大电量,小米,649,699
6921659857718585736, 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,4829,4999
6921400569218969861, Y37c【新款上市】5500mh大电池4G手机,vivo,716,799
6921377058999425098,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,1099,1399
6921761422469260165,Play10A 5300mAh大电池超长续 5G智能手机,荣耀,689,799
6921723666075435596,Ace 6T 骁龙8旗舰芯165Hz高刷索尼主摄电竞5G手机,一加,2399,2599
6921187472589396363,REDMI K80第三代骁龙8 2K屏6550mAh红米,小米,2099,2899
6921785796584247880,Z11Turbo 7600mAh大电池100W闪充新款手机,iQOO,3209,3499
6921743806023569550,S50 90W闪充第三代骁龙8s大电池2025新款5G手机,vivo,3246,3599
6921020517497912522,nova Flip小折叠 鸿蒙AI趣玩 后置5000万悬停自拍智能手机,华为,2899,9999
6921655337366380306,飞利浦智能手机90Hz高刷屏八核旗舰学生手机百元老老年人手机,PHILIPS,459,499
6921665583461153798,15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,4799,4899
6921326352584467536,Redmi红米14C手机【手机支架套餐】5160mAh大电量,小米,529,599
6921674356267378120,Neo11 骁龙8至尊版大电池100W闪充新款5G手机,iQOO,2909,2999
6921740898765859525,S50 新品上市 拍照长焦神器 90W闪充 6500mAH电池 5G智能手机,vivo,3146,3399
6921377058999421002,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,929,1199
6921761422469247877,Play10A 5300mAh大电池超长续 5G智能手机,荣耀,689,799
6921723666075443788,Ace 6T 骁龙8旗舰芯165Hz高刷索尼主摄电竞5G手机,一加,2399,2599
6921187472589379979,REDMI K80第三代骁龙8 2K屏6550mAh红米,小米,2099,2899
6921785796601152072,Z11Turbo 7600mAh大电池100W闪充新款手机,iQOO,3628,3999
6921649490448978629,X300 新品上市 6040mAh大电池 90W闪充 巨出片拍照 5G智能手机,vivo,4396,4699
6921417645833839498,畅享 70S 大电池长续航 AOD护眼大屏 鸿蒙智能手机,华为,869,1199
6921570100303630345,A3i 5G超硬核抗摔架构45W超级闪充学生智能拍照老人机,OPPO,799,
6921776803316611206,Turbo 6 9000mAh冰川电池165Hz高刷手机,一加,2899,
