评论ID,评论内容,商品名称,商品品牌,商品颜色规格,商品价格,清洗后评论,分词后评论,来源文件
2277986859613159805,给儿子买的，电量🔋续航时间久，信号稳定，拿着手感还不错，这已经是在唯品会买的第五台华为手机了，很不错,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,给儿子买的电量续航时间久信号稳定拿着手感还不错这已经是在唯品会买的第五台华为手机了很不错,儿子 电量 续航 时间 信号 稳定 手感 不错 已经 唯品 第五 华为 手机 不错,商品1.csv
2320905529813113367,颜色好看 功能齐全 单音道音质还蛮好的 孩子很喜欢 电池特别扛用 充满用两天！比我的水果强太多了 周末出去玩一天再也不担心手机没电了,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,颜色好看 功能齐全 单音道音质还蛮好的 孩子很喜欢 电池特别扛用 充满用两天比我的水果强太多了 周末出去玩一天再也不担心手机没电了,颜色 好看 功能齐全 单音 音质 孩子 喜欢 电池 特别 充满 两天 水果 强太多 周末 出去玩 一天 再也 担心 手机 没电,商品1.csv
2320904834036795635,给老人家买的效果很好，老人很喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,给老人家买的效果很好老人很喜欢,老人家 效果 老人 喜欢,商品1.csv
2317723693419072326,很好用，操作反应快,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,很好用操作反应快,操作 反应,商品1.csv
2317723498933390232,很满意哦，操作很快,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,很满意哦操作很快,满意哦 操作 很快,商品1.csv
2317704964480177228,手机外型好看，给老人买的，很实用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,手机外型好看给老人买的很实用,手机 外型 好看 老人 实用,商品1.csv
2312182653098395116,性价比真高，日常使用没问题,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,性价比真高日常使用没问题,性价比 真高 日常 使用 问题,商品1.csv
2303177043099000053,好用，买给老父亲的，很流畅，一直用华为，物美价廉。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,好用买给老父亲的很流畅一直用华为物美价廉,好用 老父亲 流畅 一直 华为 物美价廉,商品1.csv
2298084463290091886,这款手机不错，买给老人用的，功能足够，运行流畅。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,这款手机不错买给老人用的功能足够运行流畅,手机 不错 老人 功能 足够 运行 流畅,商品1.csv
2265393655189606908,一直都是用这个牌子的手机，耐摔，好看，实惠，操作方便。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,一直都是用这个牌子的手机耐摔好看实惠操作方便,一直 这个 牌子 手机 好看 实惠 操作 方便,商品1.csv
2257947448913694679,不愧是大牌子，质量就是好，屏幕清晰，功能强大,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,不愧是大牌子质量就是好屏幕清晰功能强大,不愧 牌子 质量 就是 屏幕 清晰 功能强大,商品1.csv
744148346,挺不错的，操作简单，电池用两天，真的好用！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,挺不错的操作简单电池用两天真的好用,挺不错 操作 简单 电池 两天 真的 好用,商品1.csv
743458083,给孩子买的，好用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,给孩子买的好用,孩子,商品1.csv
741555797,帮妹妹买的，她挺喜欢的，已经开始用了。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+512GB】,1499,帮妹妹买的她挺喜欢的已经开始用了,妹妹 喜欢 已经 开始,商品1.csv
