评论,分数,产品,名字,平台,来源文件
作为米粉一直支持它，国货之光外形外观非常的高端大气上档次，屏幕按键按起来很有机械感。音效不错，清晰。拍照像素很清晰，电池容量大，待机时间挺长。,5,已购 雪岩白 12GB+256GB,j***w,未知平台,商品1.csv
手机太好了，颜值高，配置16+256完全够用，操作非常流畅，拿在手上质感很好，国补后1699元，京东自营有信誉，当天下单第二天收到，快递小哥当场开机激活，很感谢！,5,已购 汐月蓝 16GB+256GB,君***生,未知平台,商品1.csv
操作简单易懂，非常顺畅，屏幕色彩鲜艳，电池耐用，不易发烫，机型外观好看，拍照清晰度高，网络速度快，就是才到手两天，这国补又提升了几十块钱,5,已购 玄夜黑 12GB+256GB,j***y,未知平台,商品1.csv
用了几天才来评，续航和性能都很顶，系统丝滑，拍照日常够用。正品保障，放心冲，太香了！手机手感好，运行流畅不卡顿，电池耐用，功能齐全，发货快，服务好，推荐入手！,5,已购 汐月蓝 16GB+256GB,水***果,未知平台,商品1.csv
送货快，快递员现场拆开激活，内存大，运行快，反应灵敏，使用不卡顿，特别是这机的电池非常耐用，两天一充电量无忧，非常OK,5,已购 玄夜黑 12GB+256GB,haoge_haoge,未知平台,商品1.csv
给孩子买的，挺满意。拍照可以，通话挺好，用起来挺流畅，配置选择的电池容量挺大的，据说可以用两天。试试再看。外壳也挺好，不是透明的。缺点，没有耳机插孔。,5,已购 玄夜黑 12GB+512GB,pbr0s8qp43pad7,未知平台,商品1.csv
充电速度很快，屏幕显示比小米12通透，反应也非常快，手感不错，补贴1.8k买的还是很划算，京东买省心省时,5,已购 玄夜黑 12GB+512GB,超级晖,未知平台,商品1.csv
红米K80性能强劲，屏幕清晰护眼，续航持久充电快。系统流畅，散热不错，拍照日常够用，性价比超高，千元机里很能打，使用体验超预期。,5,已购 玄夜黑 12GB+256GB,01意夏,未知平台,商品1.csv
红米K80综合素质在线，旗舰芯+大电池+高素质直屏，用着流畅省心。外观质感不错，功能齐全，续航让人安心。适合追求稳定、耐用、高性价比的普通用户。,5,已购 雪岩白 12GB+256GB,M***笑,未知平台,商品1.csv
送货上门速度快，颜值高，软件启动迅速，拍照清晰，屏幕大，运行流畅，非常满意，性价比高，待机时间长，充电非常快，非常满意的一次购物体验。,5,已购 雪岩白 12GB+512GB,吃***神,未知平台,商品1.csv
手机不错，外观很漂亮，配置也高，自带的配件也很全，充电器，手机壳，屏幕保护膜都有！使用省心，京东送货速度也快，购物体验非常好,5,已购 汐月蓝 12GB+512GB,老于412249954,未知平台,商品1.csv
