评论ID,评论内容,商品名称,商品品牌,商品颜色规格,商品价格,平台,来源文件
2277986859613159805,给儿子买的，电量🔋续航时间久，信号稳定，拿着手感还不错，这已经是在唯品会买的第五台华为手机了，很不错,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2320905529813113367,颜色好看 功能齐全 单音道音质还蛮好的 孩子很喜欢 电池特别扛用 充满用两天！比我的水果强太多了 周末出去玩一天再也不担心手机没电了,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2320904834036795635,给老人家买的效果很好，老人很喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2317723693419072326,很好用，操作反应快,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2317723498933390232,很满意哦，操作很快,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2317704964480177228,手机外型好看，给老人买的，很实用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2312182653098395116,性价比真高，日常使用没问题,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2303177043099000053,好用，买给老父亲的，很流畅，一直用华为，物美价廉。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2298084463290091886,这款手机不错，买给老人用的，功能足够，运行流畅。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2265393655189606908,一直都是用这个牌子的手机，耐摔，好看，实惠，操作方便。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
2257947448913694679,不愧是大牌子，质量就是好，屏幕清晰，功能强大,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
744148346,挺不错的，操作简单，电池用两天，真的好用！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
743458083,给孩子买的，好用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
741555797,帮妹妹买的，她挺喜欢的，已经开始用了。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+512GB】,1499,未知平台,商品1.csv
2265393434112040629,手机外观好看，颜色也好看，像天空的颜色，蓝蓝的天空，真漂亮！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2244513768430110949,电池很耐用，好评,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2320931488528335892,给老人买的，屏幕大，有质感，老人非常喜欢。关键是物美价廉，手机电量用的持久,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2317714309897002835,非常不错好评,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白1【8GB+256GB】,1099,未知平台,商品1.csv
2308470935654498520,给老妈买的，好用，字大清晰，电量也够用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2303191140410592565,手感不错，老年人用挺好的,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2303177185629833044,挺好的，我爸用着挺喜欢，不卡顿，也很方便,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2301686951255736539,性能很好，操作很方便，运行很流畅，很喜欢，比实体店还便宜多，值得购买，手机款式也很好看，最新版的，一直是华为粉丝,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2298075227541736947,性价比很高，老人用着很方便！。，,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
2286937139910284622,整体手感很好，系统流畅度也高，电池也耐用。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
2267676780460516057,老年人用手机，可以了，质量不错，屏幕可以,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2257953477810454787,用着不错，物美价廉，性价比挺高，挺好用的，清晰，唯品会值得信赖,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
746050802,大屏清晰  操作简单  性价比高适合老人使用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2320777743802829073,手机好用，下次一定回购。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2316602517678458213,非常不错，很划算，给小孩买的。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2295818202518653003,手机很好，快递也很快，跟图片一样，价格实惠,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
