评分,评论内容,评论时间,商品规格,平台,来源文件
1,用的很好 流畅不卡 电池待机也够用 挺满意,2026年3月3日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,从Note11EPr0换到K80，一直用的是红米，用了三天，感觉k80这次选对了，丝滑，不打游戏，刷视频，听歌，就是掉电快,2026年3月3日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,好看大气音质好外表又好看网络速度可以充电超快，非常满意,2026年3月2日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,性能可以，性价比高，国补后12+512，1700 性能和Tp4差不多，跑分k80，235w，tp4，230w，玩游戏没啥区别，就屏幕好了点，可是对比了看不出来的，可是电池差了1000，价格高了150，普通正常使用还不如电池大点的t4p好，超声波解锁还挑钢化膜，以前7-8快可以买2-3张了，现在要20一张才可以用，厚了失效了！,2026年1月26日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,1660买的16+256，给老母亲用着正合适，快递也很快第二天就到了，说不上有多好用但是性价比这一块还是可以的！,2026年1月17日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,买给老爸用的，用了百亿补贴加国补以及以旧换新，简直嘎嘎香啊，性价比超高。手机颜值不错，镜头显高级感，外框使用的是苹果的金属外壳，非常美观！而且，手机充电快，并且不耗电，运行速度快，相机拍照有实况效果，手机功能强大，于我爸而言，是相当的不错啊！喜欢的友友可放心购买～,2026年1月10日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,手机不错，颜值很高，方形的边框挺不错。运行速度很快。,2026年3月4日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,国补加优惠1600多   用了一个星期后才来评价的！以前用的K40 用了几年  原想换k90  不划算 买的k80 大内存16g！系统没有升级 不是游戏党 不重度玩 一天半充电一次还是可以的 拍照不多摄像头颜色亮度高！存储256g够用了！手机正好一手握住！色彩对比k40升级太多了！充电也快！新系统用着也快 不升级！换机方便 app用着流畅！过度还是好的 铃声大 通话清晰 信号好 ！轻度玩家再用个几年不成问题！好评！,2026年1月24日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,非常不错，电池大，性能强，拍照好，充电快 显示效果：非常细腻,2026年2月24日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,意外，春节期间2天就到了，顺丰是快。生产日期是2026年1月的，开机系统直接是澎湃3，安卓16，更新日期20260101，恢复出厂后那些预装app都没有了，实在是意外之喜。很不错。,2026年2月20日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,性价比超高，耐用丝滑，回购就是对他最大的肯定，就是这个优惠价能不能放开啊，总是盯着看能买了才能买一个，我一共需要五个，这前前后后两个多月了才买到四个，还缺一个呢，多点优惠福利一次买完不然总惦记着🤣（悄悄看了无数次，总是提示国补已使用）,2026年1月14日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,家人们谁懂啊!我最近入手了红米K80，真的被狠狠惊艳到😍。 先说说性能，它搭载了高通骁龙8 Gen3芯片，搭配LPDDR5X运存和UFS4.0存储，运行起来那叫一个丝滑，不管是多任务切换，还是玩大型游戏，都毫无压力，就像给手机装了个“超级心脏”。 续航方面更是没得说，内置了6550mAh小米金沙江电池，还支持90W有线快充。我这种重度手机用户，用一整天完全没问题，早上起床充一会儿，又能满血复活。 再看看这屏幕，6.67英寸2K OLED直屏，120Hz刷新率，画面清晰又流畅，色彩也非常鲜艳。而且峰值亮度达到了3200尼特，在大太阳下也能看得清清楚楚。还有小米青山护眼2.0技术，长时间使用眼睛也不会太累。 另外，它还支持IP68级防尘防水、杜比双扬声器、红外遥控、NFC等功能，实用性直接拉满。 总之，红米K80真的是一款非常值得入手的手机，性价比超高，我真的太爱了!强烈推荐给大家👏。 ,2026年1月29日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
