商品ID,商品标题,价格,店铺名称,店铺标签,销量,产地,是否促销,秒杀信息,商品链接
979154582999,【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体手机  安全加密三系统 礼品送礼 24期免息,29502.00,VERTU纬图旗舰店,7年老店,30人付款,四川 成都,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=J%2B00siESe89Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBHfewORLcN3o
984462513803,【24期分期】REDMI K90红米k90手机官方旗舰店游戏拍照学生旗舰智能手机小米手机红米手机redmik90,2521.03,机御旗舰店,回头客4万,800+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=n3VyJ%2BBG0wlY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCmhjOBLs0%2B
975622742895,新品上市OPPO Find X9旗舰正品新款4K超清实况照片天玑9500,3888.90,OPPO官方旗舰店,回头客40万,1万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2125&e=ofh9ysFCVRxY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB%2FAn%2BEbVKw
990315905175,新品上市OPPO Reno15正品新款宋雨琦星光蝴蝶结 2 亿像素超清影像oppo,2899.00,OPPO官方旗舰店,回头客40万,1万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2137&e=7IDvvOjny1NY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB4wtcZXEq9ormR
972708634672,【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏手机iQOO官方旗舰店官网正品大内存iqoo15,4199.00,iQOO手机官方旗舰店,回头客30万,4万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=xdzS7RVJNA5Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCho31TwP4GJ7Vs
863772049349,威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体手机5G商务智能礼盒,10600.00,VERTU纬图旗舰店,7年老店,90人付款,四川 成都,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=kYW0sHTQgItY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBHfewORLcN3o1M
1014320815912,终于找到了一款高性价比的手机，大屏幕，支持5G！,348.00,紫悦数码专营店,6年老店,200+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2177&e=4iFXqGktf2FY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB%2FOrimQr%2BU
1003961525741,【享15%国补】vivo iQOO Z11 Turbo新品上市第五代骁龙8国家补贴大电池手机iQOO官方旗舰店官网大内存,2499.00,iQOO手机官方旗舰店,回头客30万,,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2221&e=NBNYEWSrUk9Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCho31TwP4GJ7Vs
978811354627,oneplusOPPO一加 15 新品上市第五代骁龙8至尊版性能旗舰手机游戏AI手,3674.00,一加官方旗舰店,回头客10万,2万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2145&e=ic7uvQkQ2mJY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBuOUBrsuYYtvDK
1021324474049,【新品上市 抢先付定】HONOR/荣耀Magic V6 折叠屏手机至臻黑钻屏 第五代骁龙8至尊  轻薄续航正品官方旗舰店,99999.00,荣耀官方旗舰店,回头客40万,,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2233&e=TjDeF1OuhGJY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCznH3MpUF9QRe7
