评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
1,性能非常强劲，拍照也挺好的，就是玩游戏容易锁帧，也容易发烫，耗电比较快，充电也比较慢 显示效果：非常清晰，亮度也挺高的 其他特色：气氛光效能给你带来自信,2026年3月1日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",性能非常强劲拍照也挺好的就是玩游戏容易锁帧也容易发烫耗电比较快充电也比较慢 显示效果非常清晰亮度也挺高的 其他特色气氛光效能给你带来自信,性能 非常 强劲 拍照 就是 玩游戏 容易 容易 发烫 耗电 比较 充电 比较慢 显示 效果 非常 清晰 亮度 其他 特色 气氛 效能 带来 自信,商品3.csv,1.0,正向
1,第三个iqoo手机了，没有让人失望，指纹和面部解锁速度很快很灵敏，之前都是买的黑色，这次凌云自带变色也很好看，游戏体验也很好，拍照效果也不错,2026年3月4日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",第三个手机了没有让人失望指纹和面部解锁速度很快很灵敏之前都是买的黑色这次凌云自带变色也很好看游戏体验也很好拍照效果也不错,第三个 手机 没有 失望 指纹 面部 解锁 速度 很快 灵敏 之前 黑色 这次 凌云 自带 变色 好看 游戏 体验 拍照 效果 不错,商品3.csv,0.9988,正向
1,好看，手感不错，快递到货不打电话，直接显示签收了，真气人,2026年3月1日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",好看手感不错快递到货不打电话直接显示签收了真气人,好看 手感 不错 快递 到货 打电话 直接 显示 签收 真气,商品3.csv,0.012,负向
1,用了几天还算行吧   就是7000毫安的电池不如预期的那么耐用   买这手机也不在乎厚那么点  把电池再加大点 就好了,2026年2月24日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",用了几天还算行吧   就是毫安的电池不如预期的那么耐用   买这手机也不在乎厚那么点  把电池再加大点 就好了,几天 还算行 就是 毫安 电池 不如 预期 那么 耐用 手机 不在乎 那么 电池 加大,商品3.csv,0.41,中性
1,续航超给力，运行流畅不卡顿，颜值还超高！拍照清晰色彩准，握感舒适，日常使用太顺手！系统丝滑，性价比直接拉满！屏幕显示细腻，续航抗打，真心物超所值！不错,2026年1月24日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",续航超给力运行流畅不卡顿颜值还超高拍照清晰色彩准握感舒适日常使用太顺手系统丝滑性价比直接拉满屏幕显示细腻续航抗打真心物超所值不错,续航 超给力 运行 流畅 不卡顿 颜值 超高 拍照 清晰 色彩 准握 舒适 日常 使用 顺手 系统 丝滑 性价比 直接 拉满 屏幕显示 细腻 续航 抗打 真心 物超所值 不错,商品3.csv,1.0,正向
1,前天下单昨天到货，上手非常丝滑，外观是我喜欢的，屏幕大小合适，是我的梦中情机！,2026年2月28日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",前天下单昨天到货上手非常丝滑外观是我喜欢的屏幕大小合适是我的梦中情机,天下 昨天 到货 非常 丝滑 外观 喜欢 屏幕 大小 合适 情机,商品3.csv,0.9993,正向
1,实物更好看，不卡顿，还送了一个手机壳，但是手机壳不包镜头。,2026年2月23日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",实物更好看不卡顿还送了一个手机壳但是手机壳不包镜头,实物 更好 看不卡顿 一个 手机 但是 手机 不包 镜头,商品3.csv,0.615,中性
1,iQOO15相较上代提升不小果断入手了，后置镜头Deco呼吸灯还不错，屏幕和电池都有提升，握持手感舒适，简单体验了一下拍照还不错，橘子6的系统流畅度还是很高的，总体还是挺满意的。,2026年1月4日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",相较上代提升不小果断入手了后置镜头呼吸灯还不错屏幕和电池都有提升握持手感舒适简单体验了一下拍照还不错橘子的系统流畅度还是很高的总体还是挺满意的,上代 提升 不小 果断 入手 后置 镜头 呼吸 不错 屏幕 电池 提升 握持 手感 舒适 简单 体验 一下 拍照 不错 橘子 系统 流畅 还是 总体 还是 满意,商品3.csv,1.0,正向
1,东西比我想象中的还要完美，十分给力，值得入手包装非常结实，东西保护得很好，值得好评东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心,2026年2月6日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",东西比我想象中的还要完美十分给力值得入手包装非常结实东西保护得很好值得好评东西很满意哦美观时尚大气客服超级有耐心服务细致贴心,东西 想象 还要 完美 十分 给力 值得 入手 包装 非常 结实 东西 保护 值得 好评 东西 满意哦 美观 时尚 大气 客服 超级 耐心 服务 细致 贴心,商品3.csv,1.0,正向
1,天天暴力打游戏直到电池榨干每天晚上10点钟~凌晨4点钟还能剩30%多的电。一天一充。对比iQOO13iQOO 15发烫变低了，更适合投屏直播打游戏。用电量明显更耐用但不多。唯独不好的就是从16充满100需要50多分钟属实最强游戏机，闭眼冲就完事儿了,2026年1月7日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",天天暴力打游戏直到电池榨干每天晚上点钟凌晨点钟还能剩多的电一天一充对比 发烫变低了更适合投屏直播打游戏用电量明显更耐用但不多唯独不好的就是从充满需要多分钟属实最强游戏机闭眼冲就完事儿了,天天 暴力 打游戏 直到 电池 榨干 每天晚上 点钟 凌晨 点钟 剩多 一天 一充 对比 发烫 变低 适合 投屏 直播 打游戏 用电量 明显 耐用 唯独 不好 是从 充满 需要 多分钟 属实 最强 游戏机 闭眼 事儿,商品3.csv,0.0042,负向
