评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,看了很久心心念念的手机终于到手了！这次国补加直播间优惠活动拿下来最最最便宜的价格！手机很漂亮拍照也很给力！真的很适合女生、买来爬山用的！无论性能和价格都是非常优秀！试了一下信号也比苹果好！值得入手！ ,2026年3月2日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",看了很久心心念念的手机终于到手了这次国补加直播间优惠活动拿下来最最最便宜的价格手机很漂亮拍照也很给力真的很适合女生买来爬山用的无论性能和价格都是非常优秀试了一下信号也比苹果好值得入手,心心念念 手机 终于 到手 这次 补加 直播间 优惠活动 下来 最最 便宜 价格 手机 很漂亮 拍照 真的 适合 女生 买来 爬山 无论 性能 价格 非常 优秀 一下 信号 苹果 值得 入手,商品4.csv
1,现在太方便了，以旧换新而且有国补，超划算，而且收到新手机开箱验机，特别正规，然后旧手机就可邮寄走。这款手机早就相中了，因为跟苹果原来的机型很像，摄像头的位置很喜欢，质感也很好，样式简洁精致，画面和系统桌面也很好，配套设施齐全，还有透明手机壳，非常满意。,2026年3月2日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",现在太方便了以旧换新而且有国补超划算而且收到新手机开箱验机特别正规然后旧手机就可邮寄走这款手机早就相中了因为跟苹果原来的机型很像摄像头的位置很喜欢质感也很好样式简洁精致画面和系统桌面也很好配套设施齐全还有透明手机壳非常满意,现在 方便 以旧换新 而且 有国 补超 划算 而且 收到 新手机 开箱 验机 特别 正规 然后 手机 邮寄 这款 手机 早就 相中 因为 苹果 原来 机型 摄像头 位置 喜欢 质感 样式 简洁 精致 画面 系统 桌面 配套 设施 齐全 还有 透明 手机 非常 满意,商品4.csv
1,不错，媳妇很喜欢，流畅，尺寸看参数比6.59小一点而已，实际上手还是比较明显的，媳妇手小正合适。就是充电速度没有原来的红米快，不过不算啥大问题。,2026年2月12日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",不错媳妇很喜欢流畅尺寸看参数比小一点而已实际上手还是比较明显的媳妇手小正合适就是充电速度没有原来的红米快不过不算啥大问题,不错 媳妇 喜欢 流畅 尺寸 参数 比小 一点 而已 实际上 还是 比较 明显 媳妇 手小 正合适 就是 充电 速度 没有 原来 红米 不过 不算 问题,商品4.csv
1,刚刚收到货新家伙，颜值媲美苹果16哈哈哈，性价比很高喜欢拍照的可以买它续航能力的话要用几天才知道，当然网上说什么的都有，我体验体验过段时间再来评价,2026年2月10日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",刚刚收到货新家伙颜值媲美苹果哈哈哈性价比很高喜欢拍照的可以买它续航能力的话要用几天才知道当然网上说什么的都有我体验体验过段时间再来评价,刚刚 收到 货新 家伙 颜值 媲美 苹果 哈哈哈 性价比 喜欢 拍照 可以 续航 能力 的话 几天 知道 当然 网上 什么 体验 体验 过段时间 评价,商品4.csv
0,一直用的都是oppo手机  拍照也特别清晰 也送了很多赠品 但是这次新机对于oppo爱好者来说 还是有点美中不足的就是掉电特别快 已经用了大半个月才来评价的 手机给三颗星 物流和客服的服务五颗星,2026年1月20日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",一直用的都是手机  拍照也特别清晰 也送了很多赠品 但是这次新机对于爱好者来说 还是有点美中不足的就是掉电特别快 已经用了大半个月才来评价的 手机给三颗星 物流和客服的服务五颗星,一直 手机 拍照 特别 清晰 很多 赠品 但是 这次 新机 对于 爱好者 来说 还是 有点 美中不足 就是 掉电 特别 已经 大半个 评价 手机 三颗 物流 客服 服务 五颗星,商品4.csv
1,我用了好几天了，测试了使用的效果，刷抖音，打王者，没啥大问题，电池能用一天差不多，唯一不足的是那个手机壳，后面有点磨手，问题不是太大，整体来说还行,2026年1月29日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",我用了好几天了测试了使用的效果刷抖音打王者没啥大问题电池能用一天差不多唯一不足的是那个手机壳后面有点磨手问题不是太大整体来说还行,我用 几天 测试 使用 效果 刷抖音 王者 问题 电池 一天 差不多 唯一 不足 那个 手机 后面 有点 磨手 问题 不是 整体 来说,商品4.csv
1,很好用啊！谁说的耗电快，一天一充很正常呀！而且外观真的很好看，手机本身功能也多，拍照也不错，画质很清晰，跟我的苹果一样感觉比我的苹果还好！真是越做越好了,2026年1月20日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",很好用啊谁说的耗电快一天一充很正常呀而且外观真的很好看手机本身功能也多拍照也不错画质很清晰跟我的苹果一样感觉比我的苹果还好真是越做越好了,耗电 一天 一充 正常 而且 外观 真的 好看 手机 本身 功能 拍照 不错 画质 清晰 苹果 一样 感觉 苹果 还好 真是 越做越,商品4.csv
1,这次购物非常愉快😊！商品实惠好用，质量上乘🌟。物流迅速🚚，商家服务热情❤️，售后无忧。,2026年3月3日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",这次购物非常愉快商品实惠好用质量上乘物流迅速商家服务热情售后无忧,这次 购物 非常 愉快 商品 实惠 好用 质量上乘 物流 迅速 商家 服务 热情 售后 无忧,商品4.csv
1,机身小巧美观 买这个手机颜值占一大半原因 像素我不喜欢 安卓感太重 拍的照片没什么质感 除了这一点我觉得差强人意之外其他用着都很顺手,2026年1月25日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",机身小巧美观 买这个手机颜值占一大半原因 像素我不喜欢 安卓感太重 拍的照片没什么质感 除了这一点我觉得差强人意之外其他用着都很顺手,机身 小巧 美观 这个 手机 颜值 一大半 原因 像素 喜欢 安卓感 太重 照片 没什么 质感 除了 一点 觉得 差强人意 之外 其他 顺手,商品4.csv
1,手机很好看~用了好几天再来评价的~很流畅~星星粉漂酿~就是我买的时候礼盒和耳机只能选一个，我看有人评论礼盒耳机都拿下了，还有充电宝~我只有保温杯，音响，和耳机~感觉赠品没人家多😭😭还是有点失落的~,2026年1月10日,"{'机身颜色': '星星粉', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",手机很好看用了好几天再来评价的很流畅星星粉漂酿就是我买的时候礼盒和耳机只能选一个我看有人评论礼盒耳机都拿下了还有充电宝我只有保温杯音响和耳机感觉赠品没人家多还是有点失落的,手机 好看 几天 评价 流畅 星星 漂酿 就是 时候 礼盒 耳机 只能 一个 有人 评论 礼盒 耳机 拿下 还有 充电 只有 保温杯 音响 耳机 感觉 赠品 人家 还是 有点 失落,商品4.csv
